Pool Size;R2;Error
1;0.9746672263065295;0.010288603303487773
2;0.9858842837460973;0.0047476148649535106
3;0.9891041893527004;0.0041885188681049105
4;0.9913027634020329;0.00469063013045747
5;0.9920331647480878;0.004691898857952427
6;0.9920337466894897;0.004691447598957727
7;0.9920337466894897;0.004691447598957727
