Pool Size;R2;Error
1;0.9891150858682395;0.011205599731519224
2;0.9949155708600185;0.004374460002459059
3;0.9972119681736975;0.0021279991639542263
4;0.9975646106644684;0.0018815956327118894
5;0.9976812958085726;0.0017372423237731094
6;0.9976812958085726;0.0017372423237731094
7;0.9976812945703701;0.0017372444609203392
