Pool Size;R2;Error
1;0.9891151472144326;0.011205444796852091
2;0.9946357036105508;0.006608950342023568
3;0.996143913653897;0.005563182169212666
4;0.9971174207983692;0.0030229228573035367
5;0.9971195903911053;0.0030227868522219583
6;0.997121533866391;0.0030180563403604675
7;0.997121533866391;0.0030180563403604675
