Architecture,Training,Success Rate,Difference,\% Below 1/255,$R^2$
CIFAR10 A,Standard,100.00\%,1.62\%,100.00\%,0.999
CIFAR10 A,Adversarial,100.00\%,4.42\%,95.88\%,0.995
CIFAR10 A,Relu,100.00\%,0.26\%,100.00\%,1.000
CIFAR10 B,Standard,100.00\%,1.44\%,100.00\%,0.999
CIFAR10 B,Adversarial,100.00\%,3.17\%,97.69\%,0.997
CIFAR10 B,Relu,100.00\%,1.38\%,98.81\%,0.999
CIFAR10 C,Standard,100.00\%,2.11\%,100.00\%,0.999
CIFAR10 C,Adversarial,100.00\%,3.10\%,97.14\%,0.996
CIFAR10 C,Relu,100.00\%,2.35\%,96.12\%,0.990
